"Figure 2. Change in Distance to Coast of Bird Center of Abundance, 1966-2013",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: National Audubon Society, 2014",,,
Web update: May 2014,,,
Units: Average distance moved inland from coast (miles),,,
,,,
year,mean distance (miles),lower confidence (miles),upper confidence (miles)
1966,0,0,0
1967,-1.579040583,-3.195010033,0.036928867
1968,-1.873744642,-3.567969632,-0.179519653
1969,-1.401503151,-3.175720992,0.37271469
1970,-1.267471848,-3.174633067,0.639689371
1971,-1.610949504,-3.957171016,0.735272008
1972,-0.24941572,-2.899050215,2.400218774
1973,-0.142623636,-2.508072569,2.222825297
1974,-0.519694263,-3.486607883,2.447219356
1975,-2.134856665,-5.222310482,0.952597152
1976,-1.120042112,-4.40857184,2.168487616
1977,-2.95861098,-6.429874809,0.512652848
1978,-0.532178029,-4.039009968,2.974653911
1979,-3.227194115,-7.193395482,0.739007251
1980,-3.028129233,-7.55466641,1.498407943
1981,-2.332502327,-6.550425326,1.885420672
1982,-1.277427274,-5.507605174,2.952750625
1983,-3.224818548,-8.089130923,1.639493827
1984,-6.64391639,-11.65548914,-1.632343644
1985,-4.492760744,-9.453031033,0.467509545
1986,-3.925807739,-9.150046281,1.298430802
1987,-3.203799088,-8.422240201,2.014642026
1988,-0.933167611,-6.369342913,4.503007691
1989,-3.069573738,-8.744065376,2.6049179
1990,-2.445587466,-8.22336452,3.332189588
1991,-1.9931374,-8.094667696,4.108392895
1992,-1.482068293,-7.703202261,4.739065676
1993,-2.966910847,-9.148373646,3.214551952
1994,-0.798692262,-7.303142052,5.705757529
1995,0.200723397,-6.451619474,6.853066269
1996,0.226086229,-6.39800007,6.850172527
1997,-0.016819724,-7.026287933,6.992648485
1998,0.229428931,-6.938852803,7.397710665
1999,-0.443487379,-7.74594084,6.858966081
2000,3.325741819,-4.0566817,10.70816534
2001,0.418153735,-7.022195684,7.858503153
2002,3.149560906,-4.465641886,10.7647637
2003,3.11159511,-4.410525816,10.63371604
2004,5.380689932,-2.54740938,13.30878924
2005,5.929712154,-2.069918615,13.92934292
2006,8.426469547,0.166395652,16.68654344
2007,6.919288515,-1.208319907,15.04689694
2008,8.408169189,-0.037608304,16.85394668
2009,8.024554854,-0.474761546,16.52387125
2010,8.442923034,-0.384771932,17.270618
2011,10.33092003,1.437743335,19.22409672
2012,8.907929392,-0.101517318,17.9173761
2013,13.42922869,4.108117005,22.75034037
